product_id,comment,rating,source_file,label
honor-x8b,đừng mua không có linh kiện,1,ratings\honor-x8b.csv,negative
honor-x8b,chiếc điện thoại mỏng nhất tôi từng dùng cũng là chip trên máy này mượt hơn,5,ratings\honor-x8b.csv,positive
honor-x8b,mua online bên này báo ngoài tp ra thì hàng không có full box máy nhìn,2,ratings\honor-x8b.csv,negative
honor-x8b,tốt nhưng máy này có phím ảo sao màn hình vậy,5,ratings\honor-x8b.csv,positive
honor-x8b,máy dùng rất ngon mượt rất đẹp không hài lòng lắm khi nhân viên,5,ratings\honor-x8b.csv,positive
honor-x8b,trao đổi khi điện thoại mình bị lỗi không gửi nhận tin nhắn cuộc gọi được,5,ratings\honor-x8b.csv,positive
honor-x8b,chọn màu tối ưu tốt thật thiết kế đẹp bộ nhớ cao thao,5,ratings\honor-x8b.csv,positive
honor-x8b,máy ok dùng rất thích chụp hình đẹp với cái giá hơn 6tr thì,5,ratings\honor-x8b.csv,positive
honor-x8b,mạng yếu hay mất sóng đổi máy khác được không,1,ratings\honor-x8b.csv,negative
honor-x8b,nhìn qua mọi người cứ hỏi mới mua iphone à sau tuần sử dụng thấy mọi thứ,5,ratings\honor-x8b.csv,positive
honor-x8b,tuyệt vời với số tiền hơn trẻ cô chủ cửa hàng rất đáng yêu,5,ratings\honor-x8b.csv,positive
honor-x8b,máy chạy trong tam gia nay qua on moi man hinh dep pin lion,5,ratings\honor-x8b.csv,positive
honor-x8b,pin không bằng các loại cùng tầm nhưng sài cũng không khác mấy mà mình thấy,5,ratings\honor-x8b.csv,positive
honor-x8b,máy đẹp rất mượt rất tốt nên mua,5,ratings\honor-x8b.csv,positive
honor-x8b,em mới mua được tháng bán lại thì mất bao nhiêu ạ,5,ratings\honor-x8b.csv,positive
honor-x8b,mình mới mua chưa được tháng nhưng bị rơi vỡ có đổi được không,5,ratings\honor-x8b.csv,positive
honor-x8b,ok,5,ratings\honor-x8b.csv,positive
honor-x8b,điện thoại xài rất ok trong tầm giá mọi người nên mua để trải nghiệm,5,ratings\honor-x8b.csv,positive
honor-x8b,mấy em đẹp mấy em đẹp,5,ratings\honor-x8b.csv,positive
honor-x8b,mua được gần tháng máy khá ok mạnh mượt sạc nhanh,5,ratings\honor-x8b.csv,positive
honor-x8b,đã mua sản phẩm này sử dụng thấy rất ổn app mượt nhẹ tay,5,ratings\honor-x8b.csv,positive
iphone-12,mua máy lướt được hôm đã lỗi loa ngoài lúc bán nhân viên không,1,ratings\iphone-12.csv,negative
iphone-12,mới mua mà dễ nóng quá khi sạc và nhất là bật máy ảnh vài phút là,2,ratings\iphone-12.csv,negative
iphone-12,tôi mới dùng khoảng tháng mong thế giới di động hướng dẫn cách dùng sim iphone tôi đang dùng sim vật lý muốn dùng thêm sim nữa cho tiện công việc,5,ratings\iphone-12.csv,positive
iphone-12,xài lúc vừa ra tới hầm quá ok,5,ratings\iphone-12.csv,positive
